Section,Field,Type,Required,Default,Notes
Envelope,version,number,yes,,"Write exactly 4. Only 2/3/4 use the slim format; any other value (including a missing/typo'd version) falls into the legacy v1 full-Build path and mis-parses slim data (import returns false, no clean error)."
Envelope,build,object,yes,,Slim build object (see build.* rows).
Envelope,meta,object,no,,"Ignored on import. Sub-fields: exportedAt, buildAlias, authorName, authorServer."
build,name,string,no,"""Imported Build""",
build,serverId,"""homecoming""|""rebirth""|""thunderspy""",yes (*),"""homecoming""",Missing/wrong value hydrates as Homecoming.
build,archetype,"{id, name}",yes (*),"{id: null, name: """"}",id from archetype id vocabulary; name is display-only.
build,level,number,no,50,1-50
build,progressionMode,"""auto""|""freeform""",no,"""auto""",
build,primary,powerset selection,yes (*),empty,
build,secondary,powerset selection,yes (*),empty,
build,pools,powerset selection[],no,[],Up to 4 (5 on Thunderspy).
build,epicPool,powerset selection|null,no,null,
build,inherents,SlimPower[],no,auto-populated,Sparse: only modified inherents; merged by internalName (fallback: case-insensitive display name).
build,accolades,Accolade[],no,[],"Verbatim: id, name, description, icon, bonuses[], excludes?"
build,settings,{origin},no,"{origin: ""Natural""}","origin in Magic, Mutation, Natural, Science, Technology"
build,sets,"Record<setId, {count, pieces[]}>",no (write if any IO set slotted),{},"NOT recomputed on import — omit and set bonuses won't register. See ""sets tracking entry"" rows."
build,incarnates,IncarnateBuildState,no,all-null,
build,craftingChecklist,object,no,{},UI state - omit.
build,incarnateObtained,object,no,{},UI state - omit.
build,shoppingListAcquired,object,no,{},UI state - omit.
build,slotOrder,entry[],no,[],"Omit — the importer back-fills from power-pick order. The game doesn't track slot-placement levels, so an exporter has none to write. (Entry shape in ""slotOrder entry"" rows, only if you do write it.)"
build,kheldianForm,"""human""|""nova""|""dwarf""",no,absent,Peacebringer/Warshade only.
build,attackChains,"{id, name, powers[]}[]",no,absent,Omit. powers entries are ""bucket:internalName"".
build,procOverrides,"Record<""internalName:slotIndex"", ProcOverride>",no,absent,Omit. Value: {enabled, mode, stacks?, hpPct?}.
powerset selection,id,string|null,yes,,See powerset/pool id vocabularies.
powerset selection,name,string,no,,Display-only; re-resolved on import.
powerset selection,powers,SlimPower[],no,[],
incarnate slot,slotId,string,yes,,"One of alpha, judgement, interface, destiny, lore, hybrid, genesis."
incarnate slot,powerId,string,yes,,
incarnate slot,powerName,string,no,,
incarnate slot,displayName,string,no,,
incarnate slot,icon,string,no,,
incarnate slot,tier,"""common""|""uncommon""|""rare""|""veryrare""",yes,,
incarnate slot,treeId,string,no,,
incarnate slot,treeName,string,no,,
slotOrder entry,powerName,string,yes,,internalName of the power.
slotOrder entry,slotIndex,number,yes,,">=1; index 0 is the base slot."
slotOrder entry,category,"""primary""|""secondary""|""pool""|""epic""|""inherent""",yes,,
slotOrder entry,level,number,yes,,Slot-grant level.
SlimPower,name,string,yes,,Display name; last-resort match.
SlimPower,internalName,string,recommended,,Bin short name (e.g. Wind_Shear). Always write.
SlimPower,level,number,yes,,1-49
SlimPower,slots,(SlimEnhancement|null)[],yes,,"Includes base slot at index 0, in display order. Max 6."
SlimPower,isActive,boolean,no,,Omit.
SlimPower,activeSubPower,string,no,,Omit.
SlimPower,isAutoGranted,boolean,no,,
SlimPower,grantedByPower,string,no,,internalName of the granting power.
SlimPower,inherentSlotCount,number,no,,Inherents only.
SlimEnhancement io-set,type,"""io-set""",yes,,
SlimEnhancement io-set,setId,string,yes,,"snake_case of the set's DISPLAY name (Luck of the Gambler -> luck_of_the_gambler), NOT the game's internal set id — needs a mapping. Unmatched setId -> slot silently dropped."
SlimEnhancement io-set,pieceNum,number,yes,,1-based piece num within the set.
SlimEnhancement io-set,level,number,no,50,Non-attuned pieces only.
SlimEnhancement io-set,boost,number,no,,1-5. Discarded on pure procs or attuned pieces.
SlimEnhancement io-set,attuned,boolean,no,false,No level/boost when true.
SlimEnhancement io-generic,type,"""io-generic""",yes,,
SlimEnhancement io-generic,stat,enum,yes,,See stat vocabulary.
SlimEnhancement io-generic,level,number,yes,,10-50
SlimEnhancement io-generic,boost,number,no,,1-5
SlimEnhancement origin,type,"""origin""",yes,,
SlimEnhancement origin,stat,enum,yes,,Same vocabulary as io-generic.
SlimEnhancement origin,tier,"""TO""|""DO""|""SO""",yes,,
SlimEnhancement origin,boost,number,no,,1-5
SlimEnhancement special,type,"""special""",yes,,
SlimEnhancement special,category,"""hamidon""|""titan""|""hydra""|""d-sync""",yes,,
SlimEnhancement special,id,string,yes,,Bare key without the category prefix.
sets tracking entry,count,number,yes,,Length of pieces.
sets tracking entry,pieces,number[],yes,,Sorted distinct pieceNums.
